# index|ko|tr|az
0|JSON 서식 지정, 압축, 검증, 트리 편집, JSONPath 및 TypeScript / SQL 내보내기|JSON biçimlendirme, sıkıştırma, doğrulama, ağaç düzenleme, JSONPath ve TypeScript / SQL dışa aktarma|JSON formatlama, sıxlaşdırma, yoxlama, ağac redaktəsi, JSONPath və TypeScript / SQL ixracı
1|JSON, YAML, CSV, TSV, NDJSON, XML 및 TOML 상호 변환|JSON, YAML, CSV, TSV, NDJSON, XML ve TOML arasında dönüştürme|JSON, YAML, CSV, TSV, NDJSON, XML və TOML arasında çevirmə
2|SQL, XML, YAML, HTML, CSS, JavaScript 및 TypeScript 서식 지정|SQL, XML, YAML, HTML, CSS, JavaScript ve TypeScript biçimlendirme|SQL, XML, YAML, HTML, CSS, JavaScript və TypeScript formatlama
3|XLSX, CSV, TSV 및 JSON을 로컬에서 열고 편집하고 내보내기|XLSX, CSV, TSV ve JSON dosyalarını yerel olarak açma, düzenleme ve dışa aktarma|XLSX, CSV, TSV və JSON fayllarını yerli açmaq, redaktə və ixrac etmək
4|Base64, Base32, Base58 또는 Hex 인코딩 및 디코딩|Base64, Base32, Base58 veya Hex kodlama ve çözme|Base64, Base32, Base58 və ya Hex kodlaşdırma və açma
5|URL 퍼센트 인코딩/디코딩 및 쿼리 매개변수 보기|URL yüzde kodlama/çözme ve sorgu parametrelerini listeleme|URL faiz kodlaşdırma/açma və sorğu parametrlərini göstərmə
6|HTML 엔티티, Unicode, JS, JSON 또는 CSS 식별자 이스케이프|HTML varlıkları, Unicode, JS, JSON veya CSS tanımlayıcılarını kaçırma|HTML varlıqları, Unicode, JS, JSON və ya CSS identifikatorlarını qaçışlama
7|각 줄을 SQL 문자열 리터럴로 이스케이프하고 선택적으로 쉼표 추가|Her satırı SQL dizesine dönüştürme, isteğe bağlı virgül ekleme|Hər sətri SQL sətir literalına çevirmə, istəyə görə vergül əlavə etmə
8|텍스트 또는 파일로 Data URI 생성 및 해석|Metin veya dosyalardan Data URI oluşturma ve ayrıştırma|Mətn və ya fayldan Data URI yaratma və təhlil etmə
9|IDN과 Punycode 도메인 이름 상호 변환|IDN ve Punycode alan adları arasında dönüştürme|IDN və Punycode domen adları arasında çevirmə
10|이메일용 Quoted-Printable 인코딩 및 디코딩|E-posta için Quoted-Printable kodlama ve çözme|E-poçt üçün Quoted-Printable kodlaşdırma və açma
11|Unix 타임스탬프와 날짜 변환, 시간대 및 시간 계산|Unix zaman damgası ve tarih dönüştürme, saat dilimleri ve zaman hesapları|Unix zaman nişanı və tarix çevirmə, saat qurşaqları və vaxt hesablamaları
12|HEX, RGB, CMYK, HSV 변환, 색상환 및 화면 색상 선택|HEX, RGB, CMYK, HSV dönüştürme; renk çarkı ve ekran seçici|HEX, RGB, CMYK, HSV çevirmə; rəng çarxı və ekran seçicisi
13|Cron 표현식 작성 및 다음 실행 미리보기|Cron ifadesi oluşturma ve sonraki çalışmaları önizleme|Cron ifadəsi yaratma və növbəti icralara önizləmə
14|2~36진수 변환, 그룹화 및 접두사 옵션|2–36 tabanları arasında dönüştürme, gruplama ve önek seçenekleri|2–36 əsasları arasında çevirmə, qruplaşdırma və prefiks seçimləri
15|IPv4/IPv6 네트워크, 마스크, 범위 계산 및 서브넷 분할|IPv4/IPv6 ağ, maske, aralık hesaplama ve alt ağ bölme|IPv4/IPv6 şəbəkə, maska, aralıq hesablama və alt şəbəkə bölmə
