# index|zh-TW|es|it|ja|pt-BR|ko|tr|az
0|編碼無效，其他結果已清空；請檢查字元、長度及填充。|Codificación no válida. Comprueba los caracteres, la longitud y el relleno.|Codifica non valida. Controlla caratteri, lunghezza e padding.|無効なエンコードです。文字、長さ、パディングを確認してください。|Codificação inválida. Verifique caracteres, tamanho e preenchimento.|인코딩이 잘못되었습니다. 문자, 길이 및 패딩을 확인하세요.|Kodlama geçersiz. Karakterleri, uzunluğu ve dolguyu denetleyin.|Kodlaşdırma yanlışdır. Simvolları, uzunluğu və doldurmanı yoxlayın.
1|目前數值資訊|Información del valor actual|Informazioni sul valore attuale|現在の値の情報|Informações do valor atual|현재 값 정보|Geçerli değer bilgisi|Cari dəyər məlumatı
2|位元數|Bits|Bit|ビット数|Bits|비트 수|Bit|Bit
3|位元組數|Bytes|Byte|バイト数|Bytes|바이트 수|Bayt|Bayt
4|字元|Carácter|Carattere|文字|Caractere|문자|Karakter|Simvol
5|分組|Agrupar|Raggruppa|グループ化|Agrupar|그룹화|Grupla|Qruplaşdır
6|0x / 0b 前綴|Prefijo 0x / 0b|Prefisso 0x / 0b|0x / 0b 接頭辞|Prefixo 0x / 0b|0x / 0b 접두사|0x / 0b öneki|0x / 0b prefiksi
7|進位 {0}|Base {0}|Base {0}|{0} 進数|Base {0}|{0}진수|{0} tabanı|{0} əsası
8|任意進位|Cualquier base|Base arbitraria|任意の基数|Qualquer base|사용자 지정 진수|Herhangi bir taban|İstənilən əsas
9|2 到 36 進位|Base de 2 a 36|Base da 2 a 36|基数 2～36|Base de 2 a 36|2~36진수|2–36 tabanı|2–36 əsası
10|增加進位|Aumentar base|Aumenta base|基数を増やす|Aumentar base|진수 증가|Tabanı artır|Əsası artır
11|減少進位|Reducir base|Riduci base|基数を減らす|Diminuir base|진수 감소|Tabanı azalt|Əsası azalt
12|自訂進位數值|Valor de base personalizada|Valore in base personalizzata|任意の基数の値|Valor de base personalizada|사용자 지정 진수 값|Özel taban değeri|Fərdi əsas dəyəri
13|不是此進位的有效數字。|Número no válido para esta base.|Numero non valido per questa base.|この基数では無効な数値です。|Número inválido para esta base.|이 진수에서 유효하지 않은 숫자입니다.|Bu taban için geçersiz sayı.|Bu əsas üçün etibarsız ədəddir.
14|複製失敗，請選取文字手動複製。|No se pudo copiar. Selecciona el texto y cópialo manualmente.|Copia non riuscita. Seleziona e copia il testo manualmente.|コピーできませんでした。テキストを選択して手動でコピーしてください。|Falha ao copiar. Selecione e copie o texto manualmente.|복사하지 못했습니다. 텍스트를 선택해 직접 복사하세요.|Kopyalanamadı. Metni seçip elle kopyalayın.|Kopyalama alınmadı. Mətni seçib əl ilə kopyalayın.
